Date, Time, Capacity
2022-01-08, 23, 32
2022-01-09, 0, 32
2022-01-09, 1, 32
2022-01-09, 2, 32
2022-01-09, 3, 31
2022-01-09, 4, 31
2022-01-09, 5, 31
2022-01-09, 6, 32
2022-01-09, 7, 32
2022-01-09, 8, 32
2022-01-09, 9, 32
2022-01-09, 10, 32
2022-01-09, 11, 33
2022-01-09, 12, 33
2022-01-09, 13, 34
2022-01-09, 14, 33
2022-01-09, 15, 32
2022-01-09, 16, 32
2022-01-09, 17, 32
2022-01-09, 18, 32
2022-01-09, 19, 32
2022-01-09, 20, 32
2022-01-09, 21, 32
2022-01-09, 22, 33
2022-01-09, 23, 33
2022-01-10, 0, 33
2022-01-10, 1, 33
2022-01-10, 2, 33
2022-01-10, 3, 33
2022-01-10, 4, 34
2022-01-10, 5, 33
2022-01-10, 6, 34
2022-01-10, 7, 33
2022-01-10, 8, 32
2022-01-10, 9, 30
2022-01-10, 10, 29
2022-01-10, 11, 28
2022-01-10, 12, 27
2022-01-10, 13, 29
2022-01-10, 14, 30
2022-01-10, 15, 31
2022-01-10, 16, 32
2022-01-10, 17, 32
2022-01-10, 18, 32
2022-01-10, 19, 32
2022-01-10, 20, 32
2022-01-10, 21, 34
2022-01-10, 22, 35
2022-01-10, 23, 35
2022-01-11, 0, 37
2022-01-11, 1, 34
2022-01-11, 2, 33
2022-01-11, 3, 33
2022-01-11, 4, 32
2022-01-11, 5, 32
2022-01-11, 6, 32
2022-01-11, 7, 32
2022-01-11, 8, 32
2022-01-11, 9, 32
2022-01-11, 10, 32
2022-01-11, 11, 32
2022-01-11, 12, 32
2022-01-11, 13, 31
2022-01-11, 14, 32
2022-01-11, 15, 33
2022-01-11, 16, 35
2022-01-11, 17, 38
2022-01-11, 18, 38
2022-01-11, 19, 36
2022-01-11, 20, 33
2022-01-11, 21, 31
2022-01-11, 22, 31
2022-01-11, 23, 31
2022-01-12, 0, 32
2022-01-12, 1, 33
2022-01-12, 2, 31
2022-01-12, 3, 30
2022-01-12, 4, 32
2022-01-12, 5, 30
2022-01-12, 6, 29
2022-01-12, 7, 30
2022-01-12, 8, 31
2022-01-12, 9, 31
2022-01-12, 10, 33
2022-01-12, 11, 32
2022-01-12, 12, 32
2022-01-12, 13, 32
2022-01-12, 14, 32
2022-01-12, 15, 32
2022-01-12, 16, 32
2022-01-12, 17, 31
2022-01-12, 18, 31
2022-01-12, 19, 30
2022-01-12, 20, 32
2022-01-12, 21, 33
2022-01-12, 22, 33
2022-01-12, 23, 34
2022-01-13, 0, 31
2022-01-13, 1, 29
2022-01-13, 2, 29
2022-01-13, 3, 28
2022-01-13, 4, 28
2022-01-13, 5, 27
2022-01-13, 6, 23
2022-01-13, 7, 20
2022-01-13, 8, 18
2022-01-13, 9, 19
2022-01-13, 10, 20
2022-01-13, 11, 21
2022-01-13, 12, 23
2022-01-13, 13, 25
2022-01-13, 14, 26
2022-01-13, 15, 28
2022-01-13, 16, 28
2022-01-13, 17, 28
2022-01-13, 18, 29
2022-01-13, 19, 32
2022-01-13, 20, 34
2022-01-13, 21, 34
2022-01-13, 22, 34
2022-01-13, 23, 33
2022-01-14, 0, 32
2022-01-14, 1, 32
2022-01-14, 2, 31
2022-01-14, 3, 31
2022-01-14, 4, 31
2022-01-14, 5, 30
2022-01-14, 6, 31
2022-01-14, 7, 30
2022-01-14, 8, 29
2022-01-14, 9, 29
2022-01-14, 10, 28
2022-01-14, 11, 28
2022-01-14, 12, 28
2022-01-14, 13, 28
2022-01-14, 14, 27
2022-01-14, 15, 25
2022-01-14, 16, 22
2022-01-14, 17, 21
2022-01-14, 18, 20
2022-01-14, 19, 21
2022-01-14, 20, 21
2022-01-14, 21, 20
2022-01-14, 22, 20
2022-01-14, 23, 20
2022-01-15, 0, 20
2022-01-15, 1, 18
2022-01-15, 2, 18
2022-01-15, 3, 16
2022-01-15, 4, 17
2022-01-15, 5, 18
2022-01-15, 6, 15
2022-01-15, 7, 14
2022-01-15, 8, 15
2022-01-15, 9, 14
2022-01-15, 10, 12
2022-01-15, 11, 12
2022-01-15, 12, 13
2022-01-15, 13, 13
2022-01-15, 14, 12
2022-01-15, 15, 12
2022-01-15, 16, 12
2022-01-15, 17, 12
2022-01-15, 18, 14
2022-01-15, 19, 15
2022-01-15, 20, 16
2022-01-15, 21, 16
2022-01-15, 22, 16
2022-01-15, 23, 15
2022-01-16, 0, 14
2022-01-16, 1, 15
2022-01-16, 2, 15
2022-01-16, 3, 15
2022-01-16, 4, 15
2022-01-16, 5, 14
2022-01-16, 6, 11
2022-01-16, 7, 7
2022-01-16, 8, 5
2022-01-16, 9, 4
2022-01-16, 10, 4
2022-01-16, 11, 4
2022-01-16, 12, 5
2022-01-16, 13, 8
2022-01-16, 14, 11
2022-01-16, 15, 13
2022-01-16, 16, 14
2022-01-16, 17, 15
2022-01-16, 18, 16
2022-01-16, 19, 17
2022-01-16, 20, 18
2022-01-16, 21, 18
2022-01-16, 22, 18
2022-01-16, 23, 19
2022-01-17, 0, 19
2022-01-17, 1, 18
2022-01-17, 2, 18
2022-01-17, 3, 18
2022-01-17, 4, 18
2022-01-17, 5, 18
2022-01-17, 6, 19
2022-01-17, 7, 20
2022-01-17, 8, 20
2022-01-17, 9, 21
2022-01-17, 10, 21
2022-01-17, 11, 22
2022-01-17, 12, 23
2022-01-17, 13, 24
2022-01-17, 14, 24
2022-01-17, 15, 24
2022-01-17, 16, 25
2022-01-17, 17, 25
2022-01-17, 18, 25
2022-01-17, 19, 26
2022-01-17, 20, 26
2022-01-17, 21, 26
2022-01-17, 22, 27
2022-01-17, 23, 27
2022-01-18, 0, 28
2022-01-18, 1, 28
2022-01-18, 2, 28
2022-01-18, 3, 28
2022-01-18, 4, 28
2022-01-18, 5, 28
2022-01-18, 6, 28
2022-01-18, 7, 28
2022-01-18, 8, 28
2022-01-18, 9, 28
2022-01-18, 10, 29
2022-01-18, 11, 30
2022-01-18, 12, 31
2022-01-18, 13, 32
2022-01-18, 14, 37
2022-01-18, 15, 45
2022-01-18, 16, 47
2022-01-18, 17, 42
2022-01-18, 18, 36
2022-01-18, 19, 38
2022-01-18, 20, 36
2022-01-18, 21, 35
2022-01-18, 22, 35
2022-01-18, 23, 34
2022-01-19, 0, 35
2022-01-19, 1, 36
2022-01-19, 2, 38
2022-01-19, 3, 39
2022-01-19, 4, 39
2022-01-19, 5, 41
2022-01-19, 6, 46
2022-01-19, 7, 51
2022-01-19, 8, 49
2022-01-19, 9, 45
2022-01-19, 10, 45
2022-01-19, 11, 45
2022-01-19, 12, 46
2022-01-19, 13, 46
2022-01-19, 14, 46
2022-01-19, 15, 44
2022-01-19, 16, 43
2022-01-19, 17, 42
2022-01-19, 18, 42
2022-01-19, 19, 42
2022-01-19, 20, 42
2022-01-19, 21, 43
2022-01-19, 22, 43
2022-01-19, 23, 45
2022-01-20, 0, 46
2022-01-20, 1, 48
2022-01-20, 2, 48
2022-01-20, 3, 53
2022-01-20, 4, 54
2022-01-20, 5, 48
2022-01-20, 6, 49
2022-01-20, 7, 51
2022-01-20, 8, 46
2022-01-20, 9, 48
2022-01-20, 10, 48
2022-01-20, 11, 45
2022-01-20, 12, 46
2022-01-20, 13, 46
2022-01-20, 14, 46
2022-01-20, 15, 46
2022-01-20, 16, 45
2022-01-20, 17, 43
2022-01-20, 18, 43
2022-01-20, 19, 44
2022-01-20, 20, 43
2022-01-20, 21, 43
2022-01-20, 22, 43
2022-01-20, 23, 43
2022-01-21, 0, 43
2022-01-21, 1, 43
2022-01-21, 2, 43
2022-01-21, 3, 43
2022-01-21, 4, 41
2022-01-21, 5, 40
2022-01-21, 6, 40
2022-01-21, 7, 39
2022-01-21, 8, 39
2022-01-21, 9, 39
2022-01-21, 10, 40
2022-01-21, 11, 40
2022-01-21, 12, 40
2022-01-21, 13, 40
2022-01-21, 14, 39
2022-01-21, 15, 37
2022-01-21, 16, 35
2022-01-21, 17, 33
2022-01-21, 18, 31
2022-01-21, 19, 31
2022-01-21, 20, 30
2022-01-21, 21, 30
2022-01-21, 22, 29
2022-01-21, 23, 28
2022-01-22, 0, 28
2022-01-22, 1, 28
2022-01-22, 2, 28
2022-01-22, 3, 29
2022-01-22, 4, 31
2022-01-22, 5, 32
2022-01-22, 6, 33
2022-01-22, 7, 34
2022-01-22, 8, 34
2022-01-22, 9, 32
2022-01-22, 10, 31
2022-01-22, 11, 32
2022-01-22, 12, 34
2022-01-22, 13, 35
2022-01-22, 14, 36
2022-01-22, 15, 36
2022-01-22, 16, 35
2022-01-22, 17, 34
2022-01-22, 18, 33
2022-01-22, 19, 33
2022-01-22, 20, 32
2022-01-22, 21, 32
2022-01-22, 22, 32
2022-01-22, 23, 32
2022-01-23, 0, 32
2022-01-23, 1, 32
2022-01-23, 2, 32
2022-01-23, 3, 32
2022-01-23, 4, 33
2022-01-23, 5, 34
2022-01-23, 6, 36
2022-01-23, 7, 39
2022-01-23, 8, 38
2022-01-23, 9, 37
2022-01-23, 10, 37
2022-01-23, 11, 38
2022-01-23, 12, 39
2022-01-23, 13, 39
2022-01-23, 14, 39
2022-01-23, 15, 39
2022-01-23, 16, 37
2022-01-23, 17, 35
2022-01-23, 18, 33
2022-01-23, 19, 32
2022-01-23, 20, 32
2022-01-23, 21, 32
2022-01-23, 22, 33
2022-01-23, 23, 33
2022-01-24, 0, 32
2022-01-24, 1, 32
2022-01-24, 2, 32
2022-01-24, 3, 32
2022-01-24, 4, 33
2022-01-24, 5, 32
2022-01-24, 6, 29
2022-01-24, 7, 27
2022-01-24, 8, 27
2022-01-24, 9, 30
2022-01-24, 10, 32
2022-01-24, 11, 32
2022-01-24, 12, 33
2022-01-24, 13, 35
2022-01-24, 14, 35
2022-01-24, 15, 35
2022-01-24, 16, 35
2022-01-24, 17, 34
2022-01-24, 18, 34
2022-01-24, 19, 33
2022-01-24, 20, 33
2022-01-24, 21, 34
2022-01-24, 22, 34
2022-01-24, 23, 34
2022-01-25, 0, 34
2022-01-25, 1, 34
2022-01-25, 2, 35
2022-01-25, 3, 34
2022-01-25, 4, 35
2022-01-25, 5, 35
2022-01-25, 6, 35
2022-01-25, 7, 35
2022-01-25, 8, 35
2022-01-25, 9, 36
2022-01-25, 10, 37
2022-01-25, 11, 37
2022-01-25, 12, 41
2022-01-25, 13, 45
2022-01-25, 14, 49
2022-01-25, 15, 54
2022-01-25, 16, 55
2022-01-25, 17, 56
2022-01-25, 18, 56
2022-01-25, 19, 56
2022-01-25, 20, 56
2022-01-25, 21, 56
2022-01-25, 22, 55
2022-01-25, 23, 53
2022-01-26, 0, 53
2022-01-26, 1, 53
2022-01-26, 2, 52
2022-01-26, 3, 53
2022-01-26, 4, 50
2022-01-26, 5, 51
2022-01-26, 6, 48
2022-01-26, 7, 44
2022-01-26, 8, 39
2022-01-26, 9, 33
2022-01-26, 10, 32
2022-01-26, 11, 34
2022-01-26, 12, 34
2022-01-26, 13, 33
2022-01-26, 14, 32
2022-01-26, 15, 31
2022-01-26, 16, 30
2022-01-26, 17, 28
2022-01-26, 18, 28
2022-01-26, 19, 26
2022-01-26, 20, 26
2022-01-26, 21, 25
2022-01-26, 22, 26
2022-01-26, 23, 26
2022-01-27, 0, 25
2022-01-27, 1, 24
2022-01-27, 2, 24
2022-01-27, 3, 25
2022-01-27, 4, 25
2022-01-27, 5, 25
2022-01-27, 6, 25
2022-01-27, 7, 25
2022-01-27, 8, 25
2022-01-27, 9, 25
2022-01-27, 10, 26
2022-01-27, 11, 26
2022-01-27, 12, 29
2022-01-27, 13, 29
2022-01-27, 14, 28
2022-01-27, 15, 28
2022-01-27, 16, 29
2022-01-27, 17, 28
2022-01-27, 18, 29
2022-01-27, 19, 31
2022-01-27, 20, 31
2022-01-27, 21, 32
2022-01-27, 22, 40
2022-01-27, 23, 39
2022-01-28, 0, 39
2022-01-28, 1, 42
2022-01-28, 2, 42
2022-01-28, 3, 40
2022-01-28, 4, 39
2022-01-28, 5, 34
2022-01-28, 6, 29
2022-01-28, 7, 27
2022-01-28, 8, 26
2022-01-28, 9, 28
2022-01-28, 10, 29
2022-01-28, 11, 32
2022-01-28, 12, 34
2022-01-28, 13, 36
2022-01-28, 14, 37
2022-01-28, 15, 36
2022-01-28, 16, 35
2022-01-28, 17, 33
2022-01-28, 18, 33
2022-01-28, 19, 33
2022-01-28, 20, 33
2022-01-28, 21, 33
2022-01-28, 22, 33
2022-01-28, 23, 32
2022-01-29, 0, 32
2022-01-29, 1, 32
2022-01-29, 2, 32
2022-01-29, 3, 32
2022-01-29, 4, 32
2022-01-29, 5, 34
2022-01-29, 6, 34
2022-01-29, 7, 36
2022-01-29, 8, 37
2022-01-29, 9, 37
2022-01-29, 10, 39
2022-01-29, 11, 41
2022-01-29, 12, 42
2022-01-29, 13, 43
2022-01-29, 14, 43
2022-01-29, 15, 41
2022-01-29, 16, 41
2022-01-29, 17, 39
2022-01-29, 18, 38
2022-01-29, 19, 36
2022-01-29, 20, 35
2022-01-29, 21, 33
2022-01-29, 22, 31
2022-01-29, 23, 30
2022-01-30, 0, 30
2022-01-30, 1, 29
2022-01-30, 2, 28
2022-01-30, 3, 26
2022-01-30, 4, 24
2022-01-30, 5, 25
2022-01-30, 6, 24
2022-01-30, 7, 23
2022-01-30, 8, 22
2022-01-30, 9, 21
2022-01-30, 10, 21
2022-01-30, 11, 23
2022-01-30, 12, 23
2022-01-30, 13, 24
2022-01-30, 14, 24
2022-01-30, 15, 23
2022-01-30, 16, 22
2022-01-30, 17, 21
2022-01-30, 18, 20
2022-01-30, 19, 20
2022-01-30, 20, 18
2022-01-30, 21, 18
2022-01-30, 22, 18
2022-01-30, 23, 18
2022-01-31, 0, 18
2022-01-31, 1, 19
2022-01-31, 2, 18
2022-01-31, 3, 20
2022-01-31, 4, 19
2022-01-31, 5, 18
2022-01-31, 6, 17
2022-01-31, 7, 16
2022-01-31, 8, 17
2022-01-31, 9, 16
2022-01-31, 10, 16
2022-01-31, 11, 17
2022-01-31, 12, 18
2022-01-31, 13, 20
2022-01-31, 14, 20
2022-01-31, 15, 20
2022-01-31, 16, 20
2022-01-31, 17, 18
2022-01-31, 18, 15
2022-01-31, 19, 15
2022-01-31, 20, 14
2022-01-31, 21, 14
2022-01-31, 22, 13
2022-01-31, 23, 12
2022-02-01, 0, 12
2022-02-01, 1, 14
2022-02-01, 2, 14
2022-02-01, 3, 15
2022-02-01, 4, 15
2022-02-01, 5, 16
2022-02-01, 6, 17
2022-02-01, 7, 20
2022-02-01, 8, 22
2022-02-01, 9, 23
2022-02-01, 10, 25
2022-02-01, 11, 27
2022-02-01, 12, 28
2022-02-01, 13, 30
2022-02-01, 14, 28
2022-02-01, 15, 28
2022-02-01, 16, 27
2022-02-01, 17, 26
2022-02-01, 18, 26
2022-02-01, 19, 26
2022-02-01, 20, 27
2022-02-01, 21, 27
2022-02-01, 22, 28
2022-02-01, 23, 28
2022-02-02, 0, 28
2022-02-02, 1, 27
2022-02-02, 2, 27
2022-02-02, 3, 25
2022-02-02, 4, 26
2022-02-02, 5, 26
2022-02-02, 6, 27
2022-02-02, 7, 29
2022-02-02, 8, 30
2022-02-02, 9, 34
2022-02-02, 10, 34
2022-02-02, 11, 34
2022-02-02, 12, 33
2022-02-02, 13, 34
2022-02-02, 14, 34
2022-02-02, 15, 34
2022-02-02, 16, 34
2022-02-02, 17, 34
2022-02-02, 18, 33
2022-02-02, 19, 33
2022-02-02, 20, 33
2022-02-02, 21, 34
2022-02-02, 22, 34
2022-02-02, 23, 34
2022-02-03, 0, 34
2022-02-03, 1, 34
2022-02-03, 2, 35
2022-02-03, 3, 35
2022-02-03, 4, 34
2022-02-03, 5, 34
2022-02-03, 6, 33
2022-02-03, 7, 32
2022-02-03, 8, 33
2022-02-03, 9, 34
2022-02-03, 10, 35
2022-02-03, 11, 37
2022-02-03, 12, 38
2022-02-03, 13, 39
2022-02-03, 14, 39
2022-02-03, 15, 39
2022-02-03, 16, 38
2022-02-03, 17, 37
2022-02-03, 18, 37
2022-02-03, 19, 37
2022-02-03, 20, 36
2022-02-03, 21, 35
2022-02-03, 22, 36
2022-02-03, 23, 35
2022-02-04, 0, 35
2022-02-04, 1, 36
2022-02-04, 2, 35
2022-02-04, 3, 35
2022-02-04, 4, 35
2022-02-04, 5, 33
2022-02-04, 6, 33
2022-02-04, 7, 31
2022-02-04, 8, 32
2022-02-04, 9, 31
2022-02-04, 10, 32
2022-02-04, 11, 34
2022-02-04, 12, 36
2022-02-04, 13, 39
2022-02-04, 14, 38
2022-02-04, 15, 40
2022-02-04, 16, 41
2022-02-04, 17, 39
2022-02-04, 18, 39
2022-02-04, 19, 36
2022-02-04, 20, 37
2022-02-04, 21, 38
2022-02-04, 22, 37
2022-02-04, 23, 38
2022-02-05, 0, 39
2022-02-05, 1, 37
2022-02-05, 2, 35
2022-02-05, 3, 34
2022-02-05, 4, 32
2022-02-05, 5, 32
2022-02-05, 6, 31
2022-02-05, 7, 31
2022-02-05, 8, 29
2022-02-05, 9, 31
2022-02-05, 10, 34
2022-02-05, 11, 36
2022-02-05, 12, 38
2022-02-05, 13, 40
2022-02-05, 14, 38
2022-02-05, 15, 37
2022-02-05, 16, 37
2022-02-05, 17, 37
2022-02-05, 18, 36
2022-02-05, 19, 37
2022-02-05, 20, 38
2022-02-05, 21, 37
2022-02-05, 22, 35
2022-02-05, 23, 35
2022-02-06, 0, 34
2022-02-06, 1, 34
2022-02-06, 2, 32
2022-02-06, 3, 32
2022-02-06, 4, 31
2022-02-06, 5, 32
2022-02-06, 6, 30
2022-02-06, 7, 29
2022-02-06, 8, 29
2022-02-06, 9, 30
2022-02-06, 10, 32
2022-02-06, 11, 33
2022-02-06, 12, 34
2022-02-06, 13, 38
2022-02-06, 14, 40
2022-02-06, 15, 40
2022-02-06, 16, 35
2022-02-06, 17, 32
2022-02-06, 18, 28
2022-02-06, 19, 27
2022-02-06, 20, 31
2022-02-06, 21, 28
2022-02-06, 22, 25
2022-02-06, 23, 25
2022-02-07, 0, 25
2022-02-07, 1, 22
2022-02-07, 2, 20
2022-02-07, 3, 20
2022-02-07, 4, 17
2022-02-07, 5, 17
2022-02-07, 6, 17
2022-02-07, 7, 18
2022-02-07, 8, 20
2022-02-07, 9, 22
2022-02-07, 10, 22
2022-02-07, 11, 23
2022-02-07, 12, 24
2022-02-07, 13, 23
2022-02-07, 14, 21
2022-02-07, 15, 21
2022-02-07, 16, 21
2022-02-07, 17, 20
2022-02-07, 18, 17
2022-02-07, 19, 14
2022-02-07, 20, 12
2022-02-07, 21, 16
2022-02-07, 22, 15
2022-02-07, 23, 13
2022-02-08, 0, 10
2022-02-08, 1, 9
2022-02-08, 2, 11
2022-02-08, 3, 10
2022-02-08, 4, 8
2022-02-08, 5, 7
2022-02-08, 6, 9
2022-02-08, 7, 7
2022-02-08, 8, 4
2022-02-08, 9, 4
2022-02-08, 10, 6
2022-02-08, 11, 9
2022-02-08, 12, 11
2022-02-08, 13, 14
2022-02-08, 14, 16
2022-02-08, 15, 15
2022-02-08, 16, 13
2022-02-08, 17, 11
2022-02-08, 18, 8
2022-02-08, 19, 8
2022-02-08, 20, 7
2022-02-08, 21, 6
2022-02-08, 22, 7
2022-02-08, 23, 6
2022-02-09, 0, 5
2022-02-09, 1, 6
2022-02-09, 2, 7
2022-02-09, 3, 6
2022-02-09, 4, 6
2022-02-09, 5, 5
2022-02-09, 6, 5
2022-02-09, 7, 6
2022-02-09, 8, 7
2022-02-09, 9, 7
2022-02-09, 10, 8
2022-02-09, 11, 11
2022-02-09, 12, 15
2022-02-09, 13, 17
2022-02-09, 14, 20
2022-02-09, 15, 22
2022-02-09, 16, 23
2022-02-09, 17, 21
2022-02-09, 18, 19
2022-02-09, 19, 18
2022-02-09, 20, 17
2022-02-09, 21, 18
2022-02-09, 22, 18
2022-02-09, 23, 18
2022-02-10, 0, 18
2022-02-10, 1, 18
2022-02-10, 2, 17
2022-02-10, 3, 17
2022-02-10, 4, 18
2022-02-10, 5, 19
2022-02-10, 6, 17
2022-02-10, 7, 17
2022-02-10, 8, 18
2022-02-10, 9, 20
2022-02-10, 10, 21
2022-02-10, 11, 24
2022-02-10, 12, 27
2022-02-10, 13, 29
2022-02-10, 14, 30
2022-02-10, 15, 30
2022-02-10, 16, 28
2022-02-10, 17, 26
2022-02-10, 18, 24
2022-02-10, 19, 23
2022-02-10, 20, 20
2022-02-10, 21, 18
2022-02-10, 22, 17
2022-02-10, 23, 18
2022-02-11, 0, 20
2022-02-11, 1, 21
2022-02-11, 2, 22
2022-02-11, 3, 19
2022-02-11, 4, 17
2022-02-11, 5, 17
2022-02-11, 6, 17
2022-02-11, 7, 18
2022-02-11, 8, 20
2022-02-11, 9, 21
2022-02-11, 10, 20
2022-02-11, 11, 20
2022-02-11, 12, 21
2022-02-11, 13, 21
2022-02-11, 14, 26
2022-02-11, 15, 26
2022-02-11, 16, 22
2022-02-11, 17, 18
2022-02-11, 18, 17
2022-02-11, 19, 15
2022-02-11, 20, 15
2022-02-11, 21, 15
2022-02-11, 22, 13
2022-02-11, 23, 13
2022-02-12, 0, 12
2022-02-12, 1, 12
2022-02-12, 2, 13
2022-02-12, 3, 14
2022-02-12, 4, 13
2022-02-12, 5, 12
2022-02-12, 6, 12
2022-02-12, 7, 12
2022-02-12, 8, 12
2022-02-12, 9, 13
2022-02-12, 10, 15
2022-02-12, 11, 17
2022-02-12, 12, 24
2022-02-12, 13, 29
2022-02-12, 14, 27
2022-02-12, 15, 26
2022-02-12, 16, 23
2022-02-12, 17, 21
2022-02-12, 18, 18
2022-02-12, 19, 19
2022-02-12, 20, 18
2022-02-12, 21, 20
2022-02-12, 22, 22
2022-02-12, 23, 23
2022-02-13, 0, 21
2022-02-13, 1, 19
2022-02-13, 2, 18
2022-02-13, 3, 18
2022-02-13, 4, 17
2022-02-13, 5, 16
2022-02-13, 6, 16
2022-02-13, 7, 16
2022-02-13, 8, 15
2022-02-13, 9, 17
2022-02-13, 10, 20
2022-02-13, 11, 22
2022-02-13, 12, 25
2022-02-13, 13, 26
2022-02-13, 14, 29
2022-02-13, 15, 28
2022-02-13, 16, 25
2022-02-13, 17, 22
2022-02-13, 18, 21
2022-02-13, 19, 20
2022-02-13, 20, 20
2022-02-13, 21, 20
2022-02-13, 22, 19
2022-02-13, 23, 19
2022-02-14, 0, 17
2022-02-14, 1, 18
2022-02-14, 2, 16
2022-02-14, 3, 17
2022-02-14, 4, 17
2022-02-14, 5, 18
2022-02-14, 6, 17
2022-02-14, 7, 16
2022-02-14, 8, 16
2022-02-14, 9, 18
2022-02-14, 10, 20
2022-02-14, 11, 22
2022-02-14, 12, 24
2022-02-14, 13, 25
2022-02-14, 14, 29
2022-02-14, 15, 29
2022-02-14, 16, 25
2022-02-14, 17, 24
2022-02-14, 18, 23
